brewery_name,brewery_location,brewery_type,number_beers,number_ratings,brewery_ratings
Pips Meadery,"Beach Park, IL United States",Meadery,174,56552,4.64
Brewlihan,"Oakland Park, FL United States",Meadery,77,3866,4.54
Zymarium,"Orlando, FL United States",Meadery,106,3890,4.527
Schramm's Mead,"Ferndale, MI United States",Meadery,110,133817,4.52
Marlobobo,"Sande, Vestfold Norway",Meadery,104,17603,4.516
Boneflower Craft Mead,"St. John, IN United States",Meadery,46,9624,4.45
Township Meadery,"Odenton, MD United States",Meadery,61,1589,4.437
Pye Road Meadworks,"Odessa, FL United States",Meadery,208,9573,4.424
Standard Meadery,"Villa Park, IL United States",Meadery,192,31806,4.418
Funktastic Meads,"Midlothian, VA United States",Meadery,217,9675,4.404
Furious Meads,"Kraków, Małopolskie Poland",Meadery,25,1964,4.378
Garagiste Meadery,"Tampa, FL United States",Meadery,262,92741,4.36
Manic Meadery,"Crown Point, IN United States",Meadery,188,23212,4.354
Alcove,"Vladimir, Vladimir Oblast Russia",Meadery,10,3270,4.339
Hex Meadery,"Kaukauna, WI United States",Meadery,47,1183,4.329
Honey Pot Meadery,"Anaheim, CA United States",Meadery,298,21527,4.303
Ceiba,"Miami, FL United States",Meadery,88,1315,4.282
Kollektiv Mead,"The Hague, Zuid-Holland Netherlands",Meadery,20,1434,4.279
Misbeehavin' Meads,"Valparaiso, IN United States",Meadery,233,31564,4.259
Four Fires Meadery,"Maumee, OH United States",Meadery,256,18958,4.245
Burnt Barrel Meadery,"Lake Saint Louis, MO United States",Meadery,48,1860,4.236
Second City Meadery,"Chicago, IL United States",Meadery,159,5860,4.236
Nectareous,"Longwood, FL United States",Meadery,34,2401,4.234
Antelope Ridge Mead,"Colorado Springs, CO United States",Meadery,44,1880,4.224
Capital Hive Meadery,"Leesburg, VA United States",Meadery,81,1907,4.218
Api Del Bernini,Russia,Meadery,5,1075,4.213
Meadiaeval Bardcore,Russia,Meadery,17,1205,4.163
Maniacal Mead Co.,"Ypsilanti, MI United States",Meadery,85,1788,4.156
Superstition Meadery,"Prescott, AZ United States",Meadery,458,170913,4.152
Steppe & Wind Meadery (Степь и Ветер),"Orenburg, Оренбургская область Russia",Meadery,92,66344,4.118
Wildflyer Mead Company,"Navasota, TX United States",Meadery,61,2097,4.113
The Attic Meadery,"Gothenburg, Västra Götalands län Sweden",Meadery,85,8757,4.093
Costa Rica Meadery,"Santa Bárbara de Heredia, Heredia Province Costa Rica",Meadery,31,1024,4.092
Lost Cause Meadery,"San Diego, CA United States",Meadery,164,11423,4.079
Atlas Meadery,"Moscow, Москва Russia",Meadery,14,2040,4.071
Saint Michael's Mead,"Hye, TX United States",Meadery,5,1777,4.057
Silver Spoon Brewery,"Kharkiv, Харківська область Ukraine",Meadery,60,3460,4.05
The Brimming Horn Meadery,"Milton, DE United States",Meadery,411,10489,4.043
Black Heath Meadery,"Richmond, VA United States",Meadery,307,12437,4.041
Pasieka Jaros,"Łazisko, Tomaszów Mazowiecki, Łódzkie Poland",Meadery,30,1924,4.04
Scale & Feather Meadery,"Avondale, AZ United States",Meadery,127,2415,4.032
Artivem Mead Co.,"Bellingham, WA United States",Meadery,65,1734,4.024
Zen Bee Meadery,"Worthington, OH United States",Meadery,42,1130,4.018
W A Meadwerks,"Lindenhurst, NY United States",Meadery,109,8029,4.012
Melovino Meadery,"Vauxhall, NJ United States",Meadery,346,21830,4.007
Медоварня B-side,"Saint Petersburg, Санкт-Петербург Russia",Meadery,5,2118,3.991
Nordic Meadery,"Saint Petersburg, Санкт-Петербург Russia",Meadery,22,5210,3.987
Arizona Mead Company,"Chandler, AZ United States",Meadery,38,1355,3.986
The Blacksmith's Meadery,"Schilde, Vlaanderen Belgium",Meadery,23,1710,3.972
Mission-Trail,"Bradley, CA United States",Meadery,142,12962,3.971
