brewery_name,brewery_location,brewery_type,number_beers,number_ratings,brewery_ratings
Floodland Brewing,"Seattle, WA United States",Micro Brewery,11,40023,4.44
Side Project Brewing,"Saint Louis, MO United States",Micro Brewery,239,447254,4.434
Fidens Brewing Co,"Colonie, NY United States",Micro Brewery,272,211516,4.393
Smooj,"Ann Arbor, MI United States",Micro Brewery,36,43083,4.39
Weaver Hollow Brewery,"Andes, NY United States",Micro Brewery,51,3206,4.385
Root + Branch Brewing,"Copiague, NY United States",Micro Brewery,193,117528,4.369
Horus Aged Ales,"Oceanside, CA United States",Micro Brewery,183,86495,4.353
Casey Brewing & Blending,"Glenwood Springs, CO United States",Micro Brewery,666,238733,4.341
Freak Folk Bier,"Waterbury Village Historic District, VT United States",Micro Brewery,68,14873,4.341
House of Fermentology,"Burlington, VT United States",Micro Brewery,40,13762,4.338
Mortalis Brewing Company,"Avon, NY United States",Micro Brewery,529,332215,4.332
Hill Farmstead Brewery,"Greensboro, VT United States",Micro Brewery,341,1239475,4.319
Amalgam Brewing,"Denver, CO United States",Micro Brewery,62,5176,4.302
Monkish Brewing Co.,"Torrance, CA United States",Micro Brewery,826,944409,4.301
CLAG Brewing Company,"Sandusky, OH United States",Micro Brewery,181,34244,4.289
Corporate Ladder Brewing Company,"Palmetto, FL United States",Micro Brewery,517,85972,4.284
Electric Brewing Co.,"Murrieta, CA United States",Micro Brewery,422,110807,4.282
Shared,"Saint Louis, MO United States",Micro Brewery,130,110872,4.276
BKS Artisan Ales,"Kansas City, MO United States",Micro Brewery,556,75330,4.274
de Garde Brewing,"Tillamook, OR United States",Micro Brewery,337,388633,4.266
Little Log Cabin Brewing Co.,"Ardmore, PA United States",Micro Brewery,28,24369,4.255
Sante Adairius Rustic Ales,"Capitola, CA United States",Micro Brewery,461,318799,4.255
The Ale Apothecary,"Bend, OR United States",Micro Brewery,296,71917,4.251
Barclay Brewing Co.,"North Haven, CT United States",Micro Brewery,33,13796,4.249
Knotted Root Brewing Company,"Nederland, CO United States",Micro Brewery,228,61488,4.23
Slice Beer Company,"Lincoln, CA United States",Micro Brewery,154,51849,4.228
HOMES Brewery,"Ann Arbor, MI United States",Micro Brewery,310,239856,4.227
Burns Family Artisan Ales,"Denver, CO United States",Micro Brewery,175,9445,4.226
Angry Chair Brewing,"Tampa, FL United States",Micro Brewery,855,422572,4.224
Hudson Valley Brewery,"Beacon, NY United States",Micro Brewery,329,437043,4.223
Suarez Family Brewery,"Livingston, NY United States",Micro Brewery,128,131349,4.219
Adventurous Brewing,"Bettendorf, IA United States",Micro Brewery,203,34126,4.218
Cycle Brewing Company,"St. Petersburg, FL United States",Micro Brewery,522,445372,4.209
Timber Ales,"New York, NY United States",Micro Brewery,91,89172,4.207
Pulpit Rock Brewing Company,"Decorah, IA United States",Micro Brewery,441,181612,4.205
LULZ Hard Seltzer,"Lake Zurich, IL United States",Micro Brewery,22,9871,4.204
The Referend Bier Blendery,"Kutztown, PA United States",Micro Brewery,190,44924,4.203
Mcilhenney Brewing Company,"Alpine, CA United States",Micro Brewery,41,6652,4.201
Field & Oak,"Ocean Township, NJ United States",Micro Brewery,49,5239,4.2
Mixed Breed Brewing,"Guilderland Center, NY United States",Micro Brewery,67,7541,4.199
Long Live Beerworks,"Providence, RI United States",Micro Brewery,591,187485,4.198
Boiler Brewing Co.,"Lincoln, NE United States",Micro Brewery,858,140490,4.198
The Rare Barrel,"Berkeley, CA United States",Micro Brewery,214,326749,4.196
SJ Brewing Company,"Yulee Heights, FL United States",Micro Brewery,443,13657,4.195
New Park Brewing,"West Hartford, CT United States",Micro Brewery,194,124703,4.195
Pantomime Mixtures,"Hector, NY United States",Micro Brewery,27,5376,4.193
River Roost Brewery,"White River Junction, VT United States",Micro Brewery,120,59603,4.191
White Rooster Farmhouse Brewery,"Sparta, IL United States",Micro Brewery,293,22363,4.189
District 96 Beer Factory,"New City, NY United States",Micro Brewery,318,106973,4.188
Xül Beer Co,"Knoxville, TN United States",Micro Brewery,264,54219,4.184
