brewery_name,brewery_location,brewery_type,number_beers,number_ratings,brewery_ratings
Willow Park Brewing,"Bethlehem, PA United States",Нанопивоварня,95,1766,4.557
nebuleus,"Portland, OR United States",Нанопивоварня,50,2477,4.483
Emperor's Brewery,"Coalville, Leicestershire England",Нанопивоварня,49,1639,4.444
Bokke,"Hasselt, Vlaanderen Belgium",Нанопивоварня,132,50064,4.431
Prolyfk Brewing Project,"New Bern, NC United States",Нанопивоварня,213,2183,4.413
Brett & Sauvage,"Sainte-Thérèse-de-Gaspé, QC Canada",Нанопивоварня,25,4999,4.413
Private Press Brewing,"Santa Cruz, CA United States",Нанопивоварня,34,18037,4.413
Mindful Ales,"Jersey City, NJ United States",Нанопивоварня,85,1535,4.405
Troon Brewing,"Hopewell, NJ United States",Нанопивоварня,338,111715,4.354
Symbiose Brewing / Blending,"Groningen, Groningen Netherlands",Нанопивоварня,48,2848,4.316
Los Forajidos Brewing Co.,"São Paulo, São Paulo Brazil",Нанопивоварня,12,1148,4.312
Bugtown Project,Russia,Нанопивоварня,12,2898,4.298
Wunderkammer Biermanufaktur,"Albany, VT United States",Nano Brewery,26,3245,4.286
Three Chiefs Brewing Co.,"Los Angeles, CA United States",Nano Brewery,74,10558,4.281
Tarin Cervejaria,"Nova Lima, Minas Gerais Brazil",Nano Brewery,112,20347,4.28
Hankzbier,"Juiz de Fora, Minas Gerais Brazil",Nano Brewery,73,5653,4.279
Obercreek Brewing Company,"Wappingers Falls, NY United States",Nano Brewery,262,18705,4.276
Huisstekerij H.ertie,"Duisburg, Nordrhein-Westfalen Germany",Nano Brewery,109,4787,4.268
Wood Brothers Brewing Co.,"Glen Robertson, ON Canada",Nano Brewery,360,52685,4.266
Juicy Brewing Co,"Herndon, VA United States",Nano Brewery,168,10848,4.263
The Eighth State Brewing Company,"Greenville, SC United States",Nano Brewery,454,65608,4.256
Transcend Beer Crafters,"Southington, CT United States",Nano Brewery,201,19518,4.251
Orchestrated Minds Brewing,"Fort Lauderdale, FL United States",Nano Brewery,656,17387,4.249
Bofkont,"Kontich, Vlaanderen Belgium",Nano Brewery,37,22894,4.248
Free Reign Brewing Co.,"Mt. Pleasant, SC United States",Nano Brewery,14,1481,4.246
Big Pot,"Rostov-on-Don, Rostov Oblast Russia",Нанопивоварня,55,5082,4.24
Cypress Creek Southern Ales,"Winnsboro, TX United States",Nano Brewery,73,3288,4.238
Antidoot - Wilde Fermenten,"Kortenaken, Vlaanderen Belgium",Nano Brewery,55,29769,4.238
Mesopotamia Cervejaria,"Juiz de Fora, Minas Gerais Brazil",Nano Brewery,17,2018,4.232
Afterthought Brewing Company,"Lombard, IL United States",Nano Brewery,309,28344,4.226
Brouwerij Bravoure,"Etten-Leur, Noord-Brabant Netherlands",Nano Brewery,28,5267,4.225
Malanka,"Minsk, Minsk Belarus",Nano Brewery,318,66362,4.216
Gnosis Brewing,"Merrillville, IN United States",Nano Brewery,62,1856,4.215
Brouwerij Herman,"Enschede, Overijssel Netherlands",Nano Brewery,16,1266,4.21
Viking Artisan Ales,"Merrillville, IN United States",Nano Brewery,137,11252,4.206
Exeter Brewing Co.,"Exeter, NH United States",Nano Brewery,24,1231,4.204
Deep Fried Beers,"Catskill, NY United States",Nano Brewery,11,3674,4.2
Percent Tap House,"Harrisburg, NC United States",Nano Brewery,189,12409,4.197
Little Cottage Brewery,"Avondale Estates, GA United States",Nano Brewery,212,14599,4.196
Ill Will Brewing,"Columbiana, OH United States",Nano Brewery,86,5221,4.194
Captain Brew,"Uberlândia, Minas Gerais Brazil",Nano Brewery,243,9852,4.191
Frequentem Brewing Co.,"Canandaigua, NY United States",Nano Brewery,186,20945,4.189
Nano Brasserie SPO,"Griesbach-au-Val, Grand Est France",Nano Brewery,31,1501,4.188
Lumen Beer Co.,"Omaha, NE United States",Nano Brewery,54,4342,4.188
Keeping Together,"Chicago, IL United States",Nano Brewery,21,6336,4.185
Barrique Brewing and Blending,"Nashville, TN United States",Nano Brewery,211,21914,4.181
Tesla Cervejaria,"Campinas, São Paulo Brazil",Nano Brewery,39,11107,4.179
Cervejaria Escafandrista,"Piracicaba, São Paulo Brazil",Nano Brewery,79,16531,4.175
Coles Road Brewing,"Berlin, CT United States",Nano Brewery,268,20631,4.175
Spyglass Brewing Company,"Nashua, NH United States",Nano Brewery,217,91515,4.17
