,brewery_name,brewery_location,brewery_type,number_beers,brewery_ratings
0,Floodland Brewing,"Seattle, WA United States",Micro Brewery,"11 Beers 40,023 Ratings",(4.44)
1,Side Project Brewing,"Saint Louis, MO United States",Micro Brewery,"239 Beers 447,254 Ratings",(4.434)
2,Fidens Brewing Co,"Colonie, NY United States",Micro Brewery,"272 Beers 211,516 Ratings",(4.393)
3,Smooj,"Ann Arbor, MI United States",Micro Brewery,"36 Beers 43,083 Ratings",(4.39)
4,Weaver Hollow Brewery,"Andes, NY United States",Micro Brewery,"51 Beers 3,206 Ratings",(4.385)
5,Root + Branch Brewing,"Copiague, NY United States",Micro Brewery,"193 Beers 117,528 Ratings",(4.369)
6,Horus Aged Ales,"Oceanside, CA United States",Micro Brewery,"183 Beers 86,495 Ratings",(4.353)
7,Brasserie Cantillon,"Anderlecht, Brussels Belgium",Micro Brewery,"120 Beers 895,341 Ratings",(4.342)
8,Casey Brewing & Blending,"Glenwood Springs, CO United States",Micro Brewery,"666 Beers 238,733 Ratings",(4.341)
9,Freak Folk Bier,"Waterbury Village Historic District, VT United States",Micro Brewery,"68 Beers 14,873 Ratings",(4.341)
10,House of Fermentology,"Burlington, VT United States",Micro Brewery,"40 Beers 13,762 Ratings",(4.338)
11,Mortalis Brewing Company,"Avon, NY United States",Micro Brewery,"529 Beers 332,215 Ratings",(4.332)
12,Hill Farmstead Brewery,"Greensboro, VT United States",Micro Brewery,"341 Beers 1,239,475 Ratings",(4.319)
13,Brasserie du Bas-Canada,"Gatineau, QC Canada",Micro Brewery,"245 Beers 195,945 Ratings",(4.306)
14,Amalgam Brewing,"Denver, CO United States",Micro Brewery,"62 Beers 5,176 Ratings",(4.302)
15,Monkish Brewing Co.,"Torrance, CA United States",Micro Brewery,"826 Beers 944,409 Ratings",(4.301)
16,Brouwerij 3 Fonteinen,"Lot, Vlaanderen Belgium",Micro Brewery,"36 Beers 622,173 Ratings",(4.293)
17,CLAG Brewing Company,"Sandusky, OH United States",Micro Brewery,"181 Beers 34,244 Ratings",(4.289)
18,Corporate Ladder Brewing Company,"Palmetto, FL United States",Micro Brewery,"517 Beers 85,972 Ratings",(4.284)
19,Electric Brewing Co.,"Murrieta, CA United States",Micro Brewery,"422 Beers 110,807 Ratings",(4.282)
20,Cult Of Oak,"Netherton, West Midlands England",Micro Brewery,"24 Beers 1,596 Ratings",(4.277)
21,Shared,"Saint Louis, MO United States",Micro Brewery,"130 Beers 110,872 Ratings",(4.276)
22,BKS Artisan Ales,"Kansas City, MO United States",Micro Brewery,"556 Beers 75,330 Ratings",(4.274)
23,de Garde Brewing,"Tillamook, OR United States",Micro Brewery,"337 Beers 388,633 Ratings",(4.266)
24,Spartacus Brewing,"Juiz de Fora, Minas Gerais Brazil",Micro Brewery,"169 Beers 88,065 Ratings",(4.265)
25,Little Log Cabin Brewing Co.,"Ardmore, PA United States",Micro Brewery,"28 Beers 24,369 Ratings",(4.255)
26,Sante Adairius Rustic Ales,"Capitola, CA United States",Micro Brewery,"461 Beers 318,799 Ratings",(4.255)
27,The Ale Apothecary,"Bend, OR United States",Micro Brewery,"296 Beers 71,917 Ratings",(4.251)
28,Barclay Brewing Co.,"North Haven, CT United States",Micro Brewery,"33 Beers 13,796 Ratings",(4.249)
29,Knotted Root Brewing Company,"Nederland, CO United States",Micro Brewery,"228 Beers 61,488 Ratings",(4.23)
30,Slice Beer Company,"Lincoln, CA United States",Micro Brewery,"154 Beers 51,849 Ratings",(4.228)
31,HOMES Brewery,"Ann Arbor, MI United States",Micro Brewery,"310 Beers 239,856 Ratings",(4.227)
32,Burns Family Artisan Ales,"Denver, CO United States",Micro Brewery,"175 Beers 9,445 Ratings",(4.226)
33,Angry Chair Brewing,"Tampa, FL United States",Micro Brewery,"855 Beers 422,572 Ratings",(4.224)
34,Hudson Valley Brewery,"Beacon, NY United States",Micro Brewery,"329 Beers 437,043 Ratings",(4.223)
35,Suarez Family Brewery,"Livingston, NY United States",Micro Brewery,"128 Beers 131,349 Ratings",(4.219)
36,Adventurous Brewing,"Bettendorf, IA United States",Micro Brewery,"203 Beers 34,126 Ratings",(4.218)
37,Messorem,"Montreal, QC Canada",Micro Brewery,"386 Beers 188,602 Ratings",(4.213)
38,Cycle Brewing Company,"St. Petersburg, FL United States",Micro Brewery,"522 Beers 445,372 Ratings",(4.209)
39,Timber Ales,"New York, NY United States",Micro Brewery,"91 Beers 89,172 Ratings",(4.207)
40,Badlands Brewing Company,"Caledon, ON Canada",Micro Brewery,"306 Beers 86,900 Ratings",(4.205)
41,Pulpit Rock Brewing Company,"Decorah, IA United States",Micro Brewery,"441 Beers 181,612 Ratings",(4.205)
42,LULZ Hard Seltzer,"Lake Zurich, IL United States",Micro Brewery,"22 Beers 9,871 Ratings",(4.204)
43,The Referend Bier Blendery,"Kutztown, PA United States",Micro Brewery,"190 Beers 44,924 Ratings",(4.203)
44,Brasserie Auval Brewing,"Val d'Espoir, QC Canada",Micro Brewery,"69 Beers 61,088 Ratings",(4.203)
45,Mcilhenney Brewing Company,"Alpine, CA United States",Micro Brewery,"41 Beers 6,652 Ratings",(4.201)
46,Field & Oak,"Ocean Township, NJ United States",Micro Brewery,"49 Beers 5,239 Ratings",(4.2)
47,Mixed Breed Brewing,"Guilderland Center, NY United States",Micro Brewery,"67 Beers 7,541 Ratings",(4.199)
48,Long Live Beerworks,"Providence, RI United States",Micro Brewery,"591 Beers 187,485 Ratings",(4.198)
49,Boiler Brewing Co.,"Lincoln, NE United States",Micro Brewery,"858 Beers 140,490 Ratings",(4.198)
